Typ	Wikidata	Wikidata	Wikidata	Wikidata
Kriegerdenkmal (Kriegerdenkmal 1914/18)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1939/ 45)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1939/ 45) (drei Findlinge mit Bronzetafel)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1939/ 45) <Hain (Birkenhain); 	Q575759			
Kriegerdenkmal (Regimentsehrenmal)	Q575759			
Kriegerdenkmal <Kriegerdenkmal 1870/71; Kriegerdenkmal 1914/18; Kriegerdenkmal 1939/45>	Q575759			
Küchengebäude	Q47162123			
Kulturlandschaft				
Kunst im öffentlichen Raum				
Kunst im öffentlichen Raum (Lichtobjekt)				
Küsterhaus	Q47162123			
Küsterhaus/ Organistenwohnhaus	Q47162123			
Kutscherhaus	Q47162123			
Kutscherhaus/ Remise/ Stall; Wohnhaus (nach Umnutzung)	Q47162123	Q517820		
Laden	Q213441			
Läden/ Geschäftspavillons (Ladenzentrum)	Q213441	Q276173		
Ladengebäude	Q213441			
Ladenzeile	Q213441			
Lager- und Werkstattgebäude/ Wohnhaus	Q181623			
Lagergebäude	Q181623			
Lagergebäude  mit Wagenhalle (Hinterhaus)	Q181623			
Lagergebäude/ Werkstattgebäude (Möbelfabrikation, Hinterhaus)	Q181623			
Lagerhaus	Q181623			
Lagerhaus; Pflaster; Vorgarten; Werkstatt; Wohnen	Q181623	Q3328263	Q1107656	
Lagerhaus; Postgebäude	Q181623			
Landarbeiterhaus	Q47162123			
Landarbeiterhaus; Zaun	Q47162123			
Landhaus	Q16884952			
Landhaus (mit Garage)	Q16884952			
Landhaus {Rathaus (nach Umnutzung)}	Q16884952			
Landhaus/ Jagdhaus	Q16884952			
Landhaus/ Wohnwirtschaftsgebäude	Q16884952			
Landhaus; Einfriedung	Q16884952	Q1307347		
Landhaus; Einfriedung; Tor	Q16884952	Q1307347		
Landhaus; Einfriedungen; Auffahrt	Q16884952	Q1307347		
Landhaus; Garten	Q16884952	Q1107656		
Landhaus; Garten (vermutl.)	Q16884952	Q1107656		
Landhaus; Garten; Einfriedung	Q16884952	Q1307347	Q1107656	
Landhaus; Gartenpavillon	Q16884952	Q276173		
Landhaus; Mauer; Sieberling; Einfriedung	Q16884952	Q1307347		
Landhaus; Stützmauer	Q16884952			
Landhaus; Stützmauer (erhaltene Teile)	Q16884952			
Landhaus; Tor; Garten	Q16884952	Q1107656		
Landhaus; Torhaus; Allee; Hoffläche; Einfriedung/ Tor (zur Straße)	Q16884952	Q1307347		
Landhaus; u.a.	Q16884952			
Landhaus; Zaun	Q16884952			
Landhausgarten	Q1107656			
Landheim	Q47162123			
Laube	Q47162123			
Lehr- und Tagungsgebäude	Q47162123			
Lehrgebäude	Q3914			
Lehrgebäude (Institutsgebäude/ Hörsaalgebäude)	Q3914			
Lehrgebäude/ Hörsaalgebäude	Q3914			
Lehrgebäude/ Institutsgebäude (Fachschule)	Q3914			
Lehrgebäude/ Institutsgebäude (Maschinenhaus/ Maschinenbaulaboratorium)	Q3914			
Lehrgebäude/ Institutsgebäude (Schiffsbaulaboratorium)	Q3914			
Leihhaus	Q47162123			
Leuchtturm	Q39715			
Litfaßsäule	Q13964			
Logenhaus	Q47162123			
Lokschuppen	Q47162123			
Lokschuppen/Werkstatt	Q47162123			
Löschteich (vermutl.)				
Lotsenhaus	Q47162123			
Lotsenhaus/ Feuerwache	Q47162123			
Luftschutzbau	Q47162123			
Luftschutzbau (Betonformsteinunterstand)	Q47162123			
Luftschutzbau (Ringtreppenturm)	Q47162123			
Mälzerei	Q47162123			
Markthalle	Q2080521			
Markthalle (Gebäudeteil)	Q2080521			
Markthalle (Großmarkthalle); u.a.	Q2080521			
Markthalle (Zentralviehmarkt)	Q2080521			
Markthalle; Marktfläche	Q2080521			
Maschinenhaus	Q47162123			
Maschinenhaus/ Kesselhaus (Wasserwerk (Pumpwerk))	Q47162123			
Mauer	Q42948			
Mauern (Stützmauern)	Q42948			
Mausoleum	Q162875			
Mausoleum; Einfriedung	Q162875	Q1307347		
Mehrfamilienhaus	Q1498804			
Mehrfamilienhaus (Doppelhaus)	Q6453233			
Mehrfamilienhaus (Doppelhaushälfte)	Q1498804			
Mehrfamilienhaus (Eisenbahnerwohnungen)	Q1498804			
Mehrfamilienhaus (Hinterhaus)	Q1498804			
Mehrfamilienhaus (Hinterhaus); Einfriedigung (Zaun zum Garten); Hoffläche	Q1498804			
Mehrfamilienhaus (Mietshaus)	Q1498804			
Mehrfamilienhaus (mit Gaststätte und Laden)	Q1498804	Q62602544	Q213441	
Mehrfamilienhaus (mit Laden)	Q1498804			
Mehrfamilienhaus (mit Läden) (Hochhaus)	Q1498804			
Mehrfamilienhaus (mit Laden); Einfriedung	Q1498804	Q1307347		
Mehrfamilienhaus (mit Laden); Einfriedung (Nr. 42)	Q1498804	Q1307347		
Mehrfamilienhaus (mit Laden); Einfriedung (Nr. 48)	Q1498804	Q1307347		
Mehrfamilienhaus (mit Laden); Einfriedung (Nr. 77)	Q1498804	Q1307347		
Mehrfamilienhaus (mit Laden, Handwerksbetrieb (Fleischerei))	Q1498804	Q58403020		
Mehrfamilienhaus (mit Laden, vermutl.)	Q1498804			
Mehrfamilienhaus (mit Laden, Vorderhaus)	Q1498804			
Mehrfamilienhaus (mit Werkstatt und Laden)	Q1498804			
Mehrfamilienhaus (mit Werkstatt)	Q1498804			
Mehrfamilienhaus (mit Werkstatt, zugl. Hinterhaus)	Q1498804			
Mehrfamilienhaus (Reihenhaus)	Q1498804			
Mehrfamilienhaus (Reihenhauszeile, Wohnpassage)	Q1498804			
Mehrfamilienhaus (Siedlungsbau der 1920er/ 1930er Jahre)	Q1498804			
Mehrfamilienhaus (Siedlungsbau der 1930er Jahre)	Q1498804			
Mehrfamilienhaus (Siedlungsbau der 1930er Jahre); Garage	Q1498804			
Mehrfamilienhaus (Siedlungsbau)	Q1498804			
Mehrfamilienhaus (Siedlungsbau); Zubehör (in Umgebung des Gebäudes, darunter Grünflächen, Einfriedungen, Wege)	Q1498804	Q1307347		
Mehrfamilienhaus (Typ Sahlhaus)	Q1498804			
Mehrfamilienhaus (Vorderhaus)	Q1498804			
Mehrfamilienhaus (vororttypischer gehobener Zuschnitt)	Q1498804			
Mehrfamilienhaus (Wohnpassage)	Q1498804			
Mehrfamilienhaus (Wohnterrasse)	Q1498804	Q2588111		
Mehrfamilienhaus mit Vereinsräumen	Q1498804	Q1103285		
Mehrfamilienhaus/ Beamtenwohnhaus (Doppelhaus)	Q1498804			
Mehrfamilienhaus/ Gaststätte	Q1498804	Q62602544		
Mehrfamilienhaus/ Kino	Q1498804			
Mehrfamilienhaus/Beamtenwohnhaus	Q1498804			
Mehrfamilienhaus/Geschäftshaus (Hochhaus)	Q1498804			
Mehrfamilienhaus; Betriebsgebäude	Q1498804			
Mehrfamilienhaus; Einfriedung	Q1498804	Q1307347		
Mehrfamilienhaus; Einfriedung (in Teilen)	Q1498804	Q1307347		
Mehrfamilienhaus; Einfriedung (Mauer)	Q1498804	Q1307347		
Mehrfamilienhaus; Einfriedung; Tor	Q1498804	Q1307347		
Mehrfamilienhaus; Einfriedung; u.a.	Q1498804	Q1307347		
Mehrfamilienhaus; Einfriedungen; u.a.	Q1498804	Q1307347		
Mehrfamilienhaus; Garagen; Außenanlage (rückwärtig)	Q1498804			
Mehrfamilienhaus; Gartenpavillon; historische Teile der Einfriedung (insbesondere Mauer an Straßenecke); u.a.	Q1498804	Q1307347	Q276173	
Mehrfamilienhaus; Speicher	Q1498804	Q1362225		
Mehrfamilienhaus; Stallgebäude	Q1498804			
Mehrfamilienhaus; u.a.	Q1498804			
Mehrfamilienhaus; Vorgarten; Einfriedung	Q1498804	Q1307347	Q1107656	
Mehrfamilienhaus; Werkstatt	Q1498804			
Mehrfamilienhaus; Werkstattgebäude	Q1498804			
Mehrfamilienhäuser (Eisenbahnerwohnungen); Vorgarten	Q1498804	Q1107656		
Mehrfamlienhaus	Q1498804			
Mehrzweckgebäude (Bürgerhaus)	Q47162123			
Meilenstein	Q10145			
Meilenstein (Halbmeilenstein)	Q10145			
Meilenstein (Kilometerstein)	Q10145			
Mensa	Q47162123			
Mietfabrik	Q1498804			
Mietfabrik (Hinterhaus)	Q1498804			
Mietfabrik (Hofbebauung)	Q1498804			
Mietswohnhaus	Q1498804			
Mietwohnhaus	Q1498804			
Mietwohnhaus (Vorderhaus)	Q1498804			
Mietwohnhaus; Einfriedung; Schuppen (rückwärtig)	Q1498804	Q1307347		
Militärversorgungseinrichtung (Bekleidungsamt) <Werkgebäude; Dienstgebäude/Wohngebäude; Einfriedung; Freiflächen>	Q47162123	Q1307347		
Militärversorgungseinrichtung (Proviantamt) <Dienstgebäude; Scheune; Lagerschuppen; Bäckerei; Latrine; Einfriedung; Pflaster; Baumbestand>	Q47162123	Q1307347	Q3328263	Q1303167
Moschee	Q47162123			
Motel	Q47162123			
Mühle (Holländerwindmühle, Dampfmühle)	Q56822897			
Mühlenanlage (Großmühlenbetrieb)	Q56822897			
Mühlenanlage (Industrie-Getreidemühle)	Q56822897			
Mühlenensemble	Q56822897			
Mühlengebäude	Q56822897			
Mühlengebäude (Feldentwässerungsmühle)	Q56822897			
Mühlengebäude (Industrie-Getreidemühle)	Q56822897			
Mühlenteich				
Müllerwohnhaus	Q47162123			
Munitionsbunker	Q98094452			
Museum	Q33506			
Museumsgebäude	Q33506			
Museumsgebäude/ Schulgebäude	Q33506			
Musikschule (ehem.)	Q47162123			
Mütter- und Säuglingsheim	Q47162123			
Mütterheim	Q47162123			
Nebengebäude	Q47162123			
Nebengebäude (Kindertagesstätte)	Q47162123			
Oberleitungsmasten (Straßenbahn)				
Operngebäude	Q47162123			
Orgel				
Ortskern	Q47162123			
Park	Q22698			
Park (Grünanlagen des Krankenhauses); Einfriedung	Q22698	Q1307347		
Park (mit gesamter baulicher Ausstattung)	Q22698			
Park (Volkspark)	Q22698			
Park (Wirtshauspark)	Q22698			
Park; Parkausstattung <Pavillon; Teich; u.a.>	Q22698	Q276173		
Park; Plastik	Q22698			
Park; Teich; Einfriedung	Q22698	Q1307347		
Park; Tor (Parktor)	Q22698			
Park; Uferbefestigung; Wasserfläche	Q22698			
Parkanlage	Q22698			
Parkausstattung (Wasserkaskaden)	Q22698			
Parkhaus	Q13218805			
Parkhaus/ Bürohaus	Q13218805			
Passagierempfangs- und -abfertigungsgebäude/ Verwaltungsgebäude	Q47162123			
Pastorat	Q607241			
Pastorat (Doppelhaus)	Q607241			
Pastorat/ Gemeindehaus	Q607241			
Pastorat/ Gemeindehaus (mit Gemeinde- und Konfirmandensaal)	Q607241			
Pastorat/ Konfirmandensaal	Q607241			
Pastorat/Gemeindehaus	Q607241			
Pastorat/Küsterei	Q607241			
Pastorat/Wohnhaus	Q607241			
Pastorat; Einfriedung	Q607241	Q1307347		
Pastorat; u.a.	Q607241			
Pastorate	Q607241			
Pavillon	Q276173			
Pavillon (Borkenhäuschen)	Q276173			
Pavillon (Gartenhäuschen)	Q276173			
Pavillon (Gartenpavillon)	Q276173			
Pavillon (Taubenhaus)	Q276173			
Pavillon/ Teehaus	Q276173			
Pavillon/Café	Q276173			
Pavillon; Mauer (Altenheim/Pflegeheim)	Q276173			
Pegelhaus	Q505774			
Pegelmesser	Q505774			
Pfarrhaus	Q607241			
Pferdestall	Q214252			
Pferdestall {Feuerwache (seit 1922)}	Q214252			
Pferdeställe	Q214252			
Pflaster	Q3328263			
Pflaster; Straßenbeleuchtung; Wohnen	Q3328263			
Pflasterung, Schienen	Q3328263			
Pflegeheim	Q837142			
Pflegeheim <Unterkunftsgebäude; Verwaltungsgebäude; Badehaus/ Waschhaus/ Wasserturm; Maschinenhaus/  Kesselhaus (mit Schornstein); Pumpenhaus; Remise; Außenanlagen (Allee/ Freiflächen/ Gartenflächen); Einfriedung; Denkmal; u.a.>	Q837142	Q517820	Q1307347	
Pförtnerhaus	Q18759150			
Pförtnerhaus/ Gärtnerhaus	Q18759150			
Pförtnerhaus/Wohnhaus	Q18759150			
Pförtnerhaus; Einfriedung; Hofpflaster	Q18759150	Q1307347	Q3328263	
Pförtnerhaus; Remise	Q18759150	Q517820		
Pförtnerhäuschen	Q18759150			
Plastik	Q1078913			
Plastik (Andachtsgruppe, Kreuzwegstation)	Q1078913			
Plastik (Apothekerzeichen)	Q1078913			
Plastik (Betonguss-Plastik)	Q1078913			
Platz	Q174782			
Platzanlage	Q174782			
Platzanlage (Stadtplatz)	Q174782			
Platzanlage <Pflasterung; Treppen; u.a.>	Q174782	Q3328263		
Platzanlage; Denkmal (Kriegerdenkmal 1870/71)	Q174782	Q575759		
Polizeiwache	Q861951			
Polizeiwache (Normalpolizeiwache)	Q861951			
Portal				
Portalkräne	Q178692			
Postgebäude	Q35054			
Probstei/ Kirchenkreishaus	Q47162123			
Promenade; Grünanlage				
Pumpenhalle	Q47162123			
Pumpstation	Q47162123			
Rappolthaus mit Figurengruppe	Q47162123			
Rathaus	Q543654			
Rathaus (nach Erweiterung und Umbau des 1844 errichteten und 1866 umgebauten Vorgängerbaus (Bahnhof Altona))	Q543654			
Rathaus (vor Umbau Villa)	Q543654			
Rauhfutterscheune	Q1303167			
Rechenzentrum	Q47162123			
Regierung/ Verwaltung/ Sicherheit	Q47162123			
Reihenhaus	Q875016			
Reihenhaus (Bude)	Q875016			
Reihenhaus (Dreifachhaus)	Q875016			
Reihenhaus (Reihenmietshaus, Wohnterrasse)	Q875016	Q2588111		
Reihenhaus (Reihenmietshaus, Wohnterrasse); Etagenhaus (nach gestaltprägendem Umbau 1889/90)	Q875016			
Reihenhaus; Einfriedung	Q875016	Q1307347		
Reihenvilla	Q3950			
Reihenvilla (Doppelhaushälfte)	Q3950			
Reihenvilla (Endhaus)	Q3950			
Reihenvilla; Einfriedung	Q3950	Q1307347		
Reihenvilla; Remise; Stall	Q3950	Q517820		
Reihenvilla; u.a.	Q3950			
Reithalle	Q47162123			
Remise	Q517820			
Remise (mit Lagerraum)	Q517820			
Remise (mit Wohnung, vermutl.)	Q517820			
Remise/ Scheune (mit Wohnteil nach Osten)	Q517820	Q1303167		
Remise; Pförtnerhaus	Q517820			
Remise; Villa	Q517820			
Remise; Wohnen	Q517820			
Remisen {Bürogebäude (nach Aufstockung)}	Q517820			
Rinderschlachthalle	Q47162123			
Ringlokschuppen	Q47162123			
Ringlokschuppengebäude	Q47162123			
Röhrenbunker	Q91122			
Rollkräne	Q178692			
Rückhaltebecken (Wasserwerk (Pumpwerk))				
Rundbunker	Q91122			
Rundpavillon	Q276173			
Sahlhaus	Q2588111			
Sanitärbaracke	Q6502413			
Säuglings- und Mädchenheim; Polizeistation	Q47162123			
Schalthäuschen	Q47162123			
Scheune	Q1303167			
Scheune (Fachwerk) {Wohnhaus (nach Umnutzung)}	Q1303167			
Scheune; Wohnwirtschaftsgebäude	Q1303167			
Schiffsladebrücke				
Schiffsladebrücke; Kran	Q178692			
Schlachthof	Q47162123			
Schlachthof <Schweinestall; Schlachthalle>	Q47162123			
Schlachthofgebäude (Quarantänestall)	Q47162123			
Schleuse	Q105731			
Schleuse; Brücke	Q105731			
Schleuse; Sperrwerk	Q105731			
Schleusenanlage; Kanalabschnitt	Q105731			
Schleusenwärterhaus	Q47162123			
Schloss	Q47162123			
Schmiede	Q47162123			
Schonstein				
Schöpfpumpwerksgebäude	Q47162123			
Schöpfwerk	Q47162123			
Schul- und Lehrgebäude	Q1244442			
Schulanlage	Q1244442			
Schulanlage (Doppelvolksschule)	Q1244442			
Schulanlage (Gymnasium) <Schulgebäude>	Q1244442			
Schulanlage (Hilfsschule)	Q1244442			
Schulanlage (Realschule)	Q1244442			
Schulanlage (Realschule/ Lyzeum)	Q1244442			
Schulanlage (Volksschule)	Q1244442			
Schulanlage (Volksschule) <Schulgebäude; Einfriedung>	Q1244442	Q1307347		
Schulanlage <Schulgebäude (Klassentrakte, Fachräume, Verwaltung, usw.); Turnhalle; Aula; Laubengänge; Skulpturen; Mauern im Hofbereich; weitere erhaltene Reste der historischen Außenraumgestaltung>	Q1244442	Q860861		
Schulanlage <Schulgebäude; Außenanlagen (u.a. Einfriedung)>	Q1244442	Q1307347		
Schulanlage <Schulgebäude; Einfriedung; Hoffläche>	Q1244442	Q1307347		
Schulanlage <Schulgebäude; Einfriedung>	Q1244442	Q1307347		
Schulanlage <Schulgebäude; Einfriedungen>	Q1244442	Q1307347		
Schulanlage <Schulgebäude; Sportplatz>	Q1244442			
Schulanlage <Schulgebäude; Turnhalle>	Q1244442			
Schulanlage <Turnhalle; Verwaltungsgebäude; Schulgebäude>	Q1244442			
Schulanlage; Krankenbaracken {Schulpavillon (nach Umnutzung)}	Q1244442	Q6502413	Q276173	
Schule	Q1244442			
Schule (Dorfschule)	Q1244442			
Schule (Handelsschule); Einfriedung	Q1244442	Q1307347		
Schule (Oberrealschule)	Q1244442			
Schule (Real- bzw. Oberrealschule)	Q1244442			
Schule (Realschule)	Q1244442			
Schule (Volksschule)	Q513984	Q1244442		
Schule (Volksschule); Einfriedung	Q1244442	Q1307347		
Schule <Schulgebäude/ Wohnhaus; u.a.>	Q1244442			
Schule <Schulgebäude; Laubengang; u.a.>	Q1244442			
Schule <Schulgebäude; Turnhalle; Jugendheim>	Q1244442			
Schule; Wohnen	Q1244442			
Schulgebäude	Q1244442			
Schulgebäude (Anbau 1900)	Q1244442			
Schulgebäude (Doppelschule)	Q1244442			
Schulgebäude (Doppelvolksschule für Jungen und Mädchen)	Q1244442			
Schulgebäude (Dorfschule) {Gaststätte (nach Umnutzung)}	Q1244442	Q62602544		
Schulgebäude (Dorfschule) {Geschäftshaus (nach Umnutzung)}	Q1244442			
Schulgebäude (Dorfschule) {Wohnhaus (nach Umbau)}	Q1244442			
Schulgebäude (Dorfschule) {Wohnhaus (Umnutzung nach 1945)}	Q1244442			
Schulgebäude (Gemeindeschule)	Q1244442			
Schulgebäude (Gewerbeschulgebäude)	Q1244442			
Schulgebäude (Hauptschule) {Wohngebäude (nach Umnutzung)}	Q1244442			
Schulgebäude (Kirchenschule)	Q1244442			
Schulgebäude (Kirchenschule) {Gemeindehaus (nach Umnutzung)}	Q1244442			
Schulgebäude (Kirchenschule)/ Küsterwohnhaus	Q1244442			
Schulgebäude (Klassen- und Verwaltungstrakte; Schulpavillons; Aula; Turnhalle); Laubengänge; Außengestaltung	Q1244442			
Schulgebäude (Knaben-Mittelschule)	Q1244442			
Schulgebäude (Lyzeum)	Q1244442			
Schulgebäude (Mädchenmittelschule)	Q1244442			
Schulgebäude (Mädchenschule)	Q1244442			
Schulgebäude (Mädchenvolksschule)	Q1244442			
Schulgebäude (mit Hausmeisterwohnung)	Q1244442			
Schulgebäude (mit Schulleiter- und Hausmeisterwohnung)	Q1244442			
Schulgebäude (Realschule)	Q1244442			
Schulgebäude (vermutl.); Einfriedung	Q1244442	Q1307347		
Schulgebäude (Volksschule)	Q1244442			
Schulgebäude (Zwischentrakt/Mehrzweckhalle/Pavillons); Stützmauer	Q1244442	Q276173		
Schulgebäude {Bibliothek (nach Umnutzung)}	Q1244442			
Schulgebäude {Wohngebäude (nach Umnutzung)}	Q1244442			
Schulgebäude {Wohnhaus (nach Umnutzung)}	Q1244442			
Schulgebäude mit Portal	Q1244442			
Schulgebäude/ Hochschulgebäude	Q1244442			
Schulgebäude/ Jugendheim/ Theater	Q1244442			
Schulgebäude/Lehrgebäude; Platzanlage <Einfriedung>; Freitreppe	Q1244442	Q1307347		
Schulgebäude/Veranstaltungsgebäude	Q1244442			
Schulgebäude; Bäume	Q1244442			
Schulgebäude; Einfriedung	Q1244442	Q1307347		
Schulgebäude; Toilettenhaus; Bäume	Q1244442	Q813966		
Schulgebäude; Toilettenhäuschen	Q1244442	Q813966		
Schulgebäude; Turnhalle (Anbau)	Q1244442			
Schulgebäude; Turnhalle; Einfriedungen; gärtnerisch gestalteter Vorplatz (östlich des	Q1244442	Q1307347		
Schulgebäude; Wohngebäude (Lehrerwohnhaus)	Q1244442			
Schulkindergarten	Q47162123			
Schulkomplex	Q1244442			
Schulungsgebäude (mit Wohnteil, DRK-Kolonnenhaus)	Q47162123			
Schuppen	Q721931			
Schuppen (Hinterhaus)	Q721931			
Schuppen/ Garagen	Q721931			
Schuppen; Rollkräne; Bahnanlage	Q721931	Q178692		
Schwesternhaus	Q47162123			
Schwimm- und Sprungbecken				
Schwimmbad	Q200023			
Schwimmhalle	Q200023			
Seemannsheim	Q47162123			
Seezeichen				
Siedlungbau	Q11755880			
Siedlungsbau	Q11755880			
Siedlungsbau (mit Laden)	Q11755880			
Siedlungsbau (Typ Hamburger Burg)	Q11755880			
Siedlungsbau (Typ Laubenganghaus)	Q11755880			
Siedlungsbau (Wohnanlage gehobenen Standards); Vorgarten; Einfriedung	Q11755880	Q1307347		
Siedlungsbau <Wohngebäude; Durchfahrt/ Treppenanlagen; Außenanlagen; Bäume; Einfriedung>	Q11755880	Q1307347		
Siedlungsbau mit Vorgärten	Q11755880			
Siedlungsbau/ Etagenhaus	Q11755880			
Siedlungsbau/ Gemeinschaftshaus	Q11755880			
Siedlungsbau/ Geschäftshaus	Q11755880			
Siedlungsbau/ Postgebäude	Q11755880			
Siedlungsbau/Wohnstift	Q11755880			
Siedlungsbau; Grünanlage	Q11755880			
Siedlungsbau; Wohnstift	Q11755880			
Siel/Einstiegsbauwerk				
Silo	Q213643			
Silo; Fabrikationsgebäude; Kaianlagen	Q213643			
Skulptur	Q860861			
Skulptur (in Verbindung mit Treppenanlage)	Q860861			
Skulptur (Tierskulpturen)	Q860861			
Skulpturen	Q860861			
Slipanlage (Querslipanlage)				
Sommerhaus {Landhaus (nach Erweiterung)}	Q47162123			
Speicher	Q1362225			
Speicher (Hinterhaus)	Q1362225			
Speicher (Hofbebauung)	Q1362225			
Speicher (Mehl- und Getreidespeicher)	Q1362225			
Speicher (mit Geschäft (Postamt))	Q1362225			
Speicher {Wohnhaus (nach Umbau)}	Q1362225			
Speicher/ Betriebsgebäude (Bäckerei, Hofbebauung)	Q1362225			
Speicher/ Fabrikgebäude	Q1362225			
Speicher; Portal	Q1362225			
Speicher; Silos; u.a.	Q1362225			
Speicher; Wohn- und Geschäftsgebäude	Q1362225			
Speichergebäude	Q1362225			
Spielplatz	Q11875349			
Sporthalle	Q14092			
Sportplatz	Q1202618			
Sportplatz (Polizeikaserne)	Q1202618			
Sportstadiongebäude	Q47162123			
Stabsgebäude	Q47162123			
Stadion	Q1202618			
Stadthaus	Q47162123			
Stadthaus (Doppelhaus)	Q47162123			
Stadthaus (Doppelhaushälfte)	Q47162123			
Stadthaus (Palais)	Q47162123			
Stadthaus (Reihenhaus, Doppelhaushälfte)	Q47162123			
Stadtplatz	Q174782			
Stadtplatz/ Parkanlage	Q174782	Q22698		
Stadtvilla	Q47162123			
Staffagebau/ Gaststätte (Typ Niedersächsisches Bauernhaus)	Q47162123	Q62602544		
Stall	Q1207909			
Stall (mit Speicherboden)	Q1207909	Q1362225		
Stall (vermutl.) {Wohnhaus (nach Umnutzung)}	Q1207909			
Stall {Wohnwirtschaftsgebäude (nach Anbau des Wohnteils mit Pferdestall 1910)}	Q1207909			
Stall- und Garagengebäude/Wohnhaus (Gärtnerwohnung)	Q1207909			
Stall/ Backhaus	Q1207909			
Stall/ Garage/ Remise {Institutsgebäude (nach Umnutzung)}	Q1207909	Q517820		
Stall/Scheune {Wohnhaus (nach Umnutzung)}	Q1207909	Q1303167		
Stall; Garage	Q1207909			
Stall; Wohnen	Q1207909			
Stallgebäude	Q1207909			
Stallgebäude (Garage) {Wohn- und Bürogebäude (nach Umnutzung)}	Q1207909			
Stallgebäude (Hofbebauung)	Q1207909			
Stallgebäude (Hunde- und Kälberstall)	Q1207909			
Stallgebäude (Kälber- und Hammelstall)	Q1207909			
Stallgebäude (mit Wohnteil) {Wohnhaus (nach Umbau)}	Q1207909			
Stallgebäude (Pferdestall)	Q1207909			
Stallgebäude (vermutl.)	Q1207909			
Stallgebäude (Viehstall)	Q1207909			
Stallgebäude {Wohnhaus (nach Umbau)}	Q1207909			
Stallgebäude/ Remise	Q1207909	Q517820		
Stallgebäude/ Werkstattgebäude (Hinterhaus)	Q1207909			
Steinbänke				
Steinbrüstung				
Steinwerk (urspr.) {Wohngebäude (nach Umbau ab 1527, herzöglicher Wohnsitz)} {Amtshaus (nach Umbau um 1820)} {Mehrfamilienhaus, Mietwohnhaus (nach Umbau)}				
Sternwarte	Q41176			
Stift	Q11755880			
Stift (Stiftsgebäude)	Q11755880			
Stift (Wohnstift)	Q11755880			
Stiftsgebäude	Q11755880			
Stiftsgebäude (Wohnstift)	Q11755880			
Stiftsgebäude/Wohnhaus	Q11755880			
Straße	Q34442			
Straßen- und Eisenbahn-Hubbrücke	Q537127			
Straßen- und Eisenbahn-Rampe	Q34442			
Straßenabschnitt (Chaussee) <Pflaster; u.a.>	Q34442	Q3328263		
Straßenabschnitt/ Promenade (Allee)	Q34442			
