Typ	Wikidata	Wikidata	Wikidata	Wikidata
Straßenabschnitt/ Promenade (Allee); Platzanlage	Q34442			
Straßenabschnitt/Pflaster	Q34442	Q3328263		
Straßenbrücke	Q537127			
Straßenbrücke (Autobahn)	Q537127			
Straßenbrücke (Drehbrücke)	Q537127			
Straßenbrücke (Klappbrücke)	Q537127			
Straßenbrücke (Portalbrücke)	Q537127			
Straßenbrücke/ Bahnbrücke	Q537127			
Straßenbrücke; Eisenbahnbrücke	Q537127			
Straßenbrücke; Ufermauern	Q537127			
Straßenbrücken	Q537127			
Straßenfläche (Pflaster)	Q3328263			
Straßenpflaster	Q3328263			
Straßenprofil	Q34442			
Straßenschild				
Studentenwohnheim	Q41176			
Stützmauer	Q1076291			
Stützmauer/ Treppenanlage (mit Treppengeländer)	Q1076291			
Stützmauern (mit Geländer und Laternen)	Q1076291			
Stüzmauer; Grünanlage	Q1076291			
Synagoge	Q34627			
Synagoge (Ruine); Wohnhaus (Vorderhaus)	Q34627			
Synagoge; Wohnen	Q34627			
Tagungsgebäude	Q41176			
Tankstelle	Q205495			
Tankstelle/ Werkstatt	Q205495			
Taubenhaus	Q41176			
Teich				
Terrassen				
Terrassen; Treppenanlagen				
Theater	Q24354			
Tiefbunker	Q91122			
Tiefbunker/Rundbunker (Erprobungsbau)	Q91122			
Tierhaus	Q41176			
Tierklinik/ Stallgebäude	Q41176			
Tierpark	Q43501			
Toilettengebäude	Q813966			
Toilettengebäude/ Kiosk	Q813966			
Toilettenhaus	Q813966			
Toilettenhäuschen	Q813966			
Toilettenhäuschen/ Pavillon	Q813966	Q276173		
Torgebäude	Q41176			
Torhaus	Q41176			
Torhaus/ Wohngebäude (Altenheim/Pflegeheim)	Q41176			
Torpfosten				
Trafohaus/ Pavillon (Verkaufsraum)/ Toilettenanlage	Q41176	Q813966	Q276173	
Transformatorenhaus	Q41176			
Transformatorenhäuschen	Q41176			
Trauerhalle	Q41176			
Treibhaus	Q41176			
Treppen und Grünbereich				
Treppenanlage				
Treppenanlage; Denkmal; Gitter				
Treppenanlage; Pflaster; Stützmauer		Q3328263		
Treppenbrücke				
Tribüne				
Trinkhalle	Q41176			
Trockendock				
Trockendock; Werftkräne		Q178692		
Tunnel	Q44377			
Tunnel (Bahnanlage)	Q44377			
Tunnel (Bahntunnel)	Q44377			
Tunnel (Leitungstunnel)	Q44377			
Tunnel <Tunnelröhren; Schachtgebäude; u.a.>	Q44377			
Tunnel/ Lüfterbauwerk	Q44377			
Tunneleingang (U-Bahn)	Q44377			
Tunneleingänge (U-Bahn)	Q44377			
Turm				
Turmbunker (Zombeck)	Q219109			
Turmkran	Q178692			
Turnhalle	Q14092			
Turnhalle (Schulturnhalle)	Q14092			
Turnhalle/ Aula	Q14092			
Tweehus	Q6453233			
Tweehus (Haushälfte)	Q6453233			
Tweehus; u.a.	Q6453233			
U-Bahnbrücke				
Uferbefestigung				
Ufergestaltung/ Uferbefestigung; u.a.				
Ufermauern				
Vasen				
Veranstaltungsgebäude/ Gaststätte (mit verschiedenen Sälen, Musikklub); Hotel	Q41176	Q62602544		
Veranstaltungsgebäude/Etablissement	Q41176			
Veranstaltungshalle	Q41176			
Vereinshaus	Q1103285			
Vereinshaus (mit Versammlungs-, Sozialarbeits- und Wohnräumen)	Q1103285			
Vereinshaus/ Gaststätte (Kaffeeklappe)	Q1103285	Q62602544		
Verkaufspavillon	Q276173			
Verkaufspavillon/Kiosk	Q276173			
Verkehrsflächen (Straßenfläche; Platzanlage)				
Verladestation	Q41176			
Verlagsgebäude	Q41176			
Versorgungseinrichtung (Armenküche)	Q41176			
Verwaltungsgebäude	Q2519340			
Verwaltungsgebäude (Finanzamt)	Q2519340			
Verwaltungsgebäude (Gewerbebetrieb)	Q2519340			
Verwaltungsgebäude (Hochhaus)	Q2519340			
Verwaltungsgebäude (mit Gaststätte und Saal)	Q2519340	Q62602544		
Verwaltungsgebäude (Standortkommandantur)	Q2519340			
Verwaltungsgebäude (Versicherung); Mehrfamilienwohnhaus	Q2519340			
Verwaltungsgebäude (Zoll)	Q2519340			
Verwaltungsgebäude {Polizeiwache (nach Umnutzung)}	Q2519340			
Verwaltungsgebäude {Wohngebäude (nach Umnutzung)}	Q2519340			
Verwaltungsgebäude/ Altenheim/ Wohn- und Dienstgebäude (kirchlich)	Q2519340			
Verwaltungsgebäude/ Bahnhofsgebäude	Q2519340			
Verwaltungsgebäude/ Betriebsgebäude (Post-/ Zollabfertigung)	Q2519340			
Verwaltungsgebäude/ Dienstgebäude	Q2519340			
Verwaltungsgebäude/ Dienstgebäude/ Zollgebäude	Q2519340			
Verwaltungsgebäude/ Eingangsgebäude	Q2519340			
Verwaltungsgebäude/ Mehrfamilienhaus	Q2519340			
Verwaltungsgebäude/ Mehrfamilienhaus; Skulpturen (zwei Skulpturen, ehem. Schmuck der Außentreppe)	Q2519340	Q860861		
Verwaltungsgebäude/ Mehrzweckgebäude	Q2519340			
Verwaltungsgebäude/ Pumpenhaus	Q2519340			
Verwaltungsgebäude/ Wohnhaus	Q2519340			
Verwaltungsgebäude; Wohngebäude	Q2519340			
Viadukt (mit Kasematten)	Q12280			
Villa	Q3950			
Villa (einschl. des Inventars)	Q3950			
Villa (Reihenvilla); Einfriedung	Q3950	Q1307347		
Villa (Reihenvilla); Einfriedung; Tor	Q3950	Q1307347		
Villa (Sommerhaus)	Q3950			
Villa {Rathaus (nach Erweiterung/ nach Umbau)}	Q3950			
Villa {Verwaltungsgebäude (nach Zusammenfassung und Umnutzung)}	Q3950			
Villa mit Garten	Q3950	Q1107656		
Villa; Außenanlagen (Umgebung der Villa)	Q3950			
Villa; Einfriedung	Q3950	Q1307347		
Villa; Einfriedung; Garten	Q3950	Q1307347	Q1107656	
Villa; Einfriedung; Tor	Q3950	Q1307347		
Villa; Einfriedung; Tore	Q3950	Q1307347		
Villa; Einfriedung; Vorgarten	Q3950	Q1307347	Q1107656	
Villa; Garage ("Auto-Remise")	Q3950			
Villa; Garten	Q3950	Q1107656		
Villa; Garten (vermutl.)	Q3950	Q1107656		
Villa; Garten; Einfriedung	Q3950	Q1307347	Q1107656	
Villa; Gartenhaus; Einfriedung	Q3950	Q1307347		
Villa; Grundstück; Einfriedung	Q3950	Q1307347		
Villa; Hausgarten; Einfriedung;	Q3950	Q1307347		
Villa; Remise	Q3950	Q517820		
Villa; Schule (nach Umnutzung 1898)	Q3950			
Villa; Stützmauer	Q3950			
Villa; Stützmauer; Torpfeiler; Hecke; Garten	Q3950			
Villa; u.a.	Q3950			
Villa; Vorgarten	Q3950	Q1107656		
Villa; Vorgarten; Einfriedung	Q3950	Q1307347	Q1107656	
Villa; Vorgarten; Einfriedungen	Q3950	Q1307347	Q1107656	
Villa; Vorgarten; Zaun	Q3950	Q1307347	Q1107656	
Villa; Zaun; Vorgarten	Q3950			
Villa; Zubehör	Q3950			
Volkshaus	Q41176			
Vordergebäude	Q41176			
Vorderhaus	Q41176			
Vorfahrtsbauwerk				
Vorgarten	Q1107656			
Vorgarten; Einfriedung (jenseits des Weges)	Q1107656	Q1307347		
Vorgarten; Schneitelbäume	Q1107656			
Vorgartenpostamente mit Keramikvasen				
Vorsetzen				
Wachgebäude	Q41176			
Waisenhaus	Q41176			
Waisenhaus {Pfarrhaus/ Kindertagesstätte (nach Umnutzung)}	Q41176			
Wandbild				
Wandgemälde				
Wandgemäldezyklus: "Marschlandschaft“, „Nächtliche Werft“, „Blick von der Lombardbrücke“				
Wandlerhäuschen	Q41176			
Wartehäuschen	Q41176			
Warteschule	Q41176			
Warteschule/ Krippe	Q41176			
Wäscherei	Q41176			
Waschhaus	Q41176			
Wasserbassin				
Wasserbecken; Ufermauern				
Wasserfläche				
Wasserfläche (Kanal)				
Wasserfläche <Teich; Kanal>				
Wasserfläche; Ufer				
Wasserfläche; Ufereinfassung				
Wasserfläche; Ufereinfassung; Grünanlage				
Wasserfläche; Ufereinfassung; Vereins-/Bootshaus		Q1103285		
Wassergraben				
Wassermühle	Q41176			
Wassertreppe				
Wasserturm	Q274153			
Wasserturm {Planetarium (nach Umnutzung)}	Q41176			
Wasserturm/ Bahngebäude	Q41176			
Wasserwerk	Q10373565			
Wasserwerk (Grundwasserwerk)	Q10373565			
Wasserwerk (Grundwasserwerk) <Betriebsgebäude; Betriebstechnik; Reinwasserbehälter; Filterbecken; Treppenanlage; Stützmauer (mit Inschrift); u.a.>	Q10373565			
Wasserwerksgebäude (Pumpenhaus/Aufbereitungsanlage/Wasserbehälter) {Wohngebäude (nach Umnutzung)}	Q10373565			
Wehr				
Werftanlage	Q190928			
Werftanlage <Plattenlager; Anzeichnerei/ Schnürboden; Werkhallen (Schiffsbauwerkstätten); u.a.>	Q190928			
Werftanlage <Verwaltungsgebäude; Maschinenbauhalle; Lotsenhaus; Feuerwache; Trockendock; u.a.>	Q190928			
Werftanlage; Industrieanlage	Q190928			
Werfthalle	Q190928			
Werftkomplex	Q190928			
Werk- und Armenhaus	Q41176			
Werkhalle	Q41176			
Werksgebäude (Brauerei)	Q41176			
Werksgebäude (Druckerei)	Q41176			
Werksgebäude (Halle mit Wohn- und Büroteil)	Q41176			
Werksgebäude (Mälzerei)	Q41176			
Werksschutzbunker (Personenschutzbunker)	Q91122			
Werkstatt	Q656720			
Werkstatt/Lagergebäude	Q656720			
Werkstattanlage (Fahrzeugwerkstätten)	Q656720			
Werkstattgebäude	Q656720			
Werkstattgebäude (Fischräucherei, Hinterhaus)	Q656720			
Werkstattgebäude (Hinterhaus)	Q656720			
Werkstattgebäude (Hofbebauung)	Q656720			
Werkstattgebäude (mit Schornstein)	Q656720			
Werkstattgebäude/Lager (Hinterhaus)	Q656720			
Windbäume				
Windmühle	Q38720			
Windmühle; u.a.	Q38720			
Wirtschaftsgebäude	Q41176			
Wirtschaftsgebäude (Nebengebäude)	Q41176			
Wirtschaftsgebäude/ Stallgebäude	Q41176			
Wirtschaftsgebäude/Verwaltungsgebäude (Altenheim/Pflegeheim)	Q41176			
Wohn- und Geschäftsgebäude	Q11755880	Q655686		
Wohn- und Geschäftshaus	Q11755880	Q655686		
Wohn- und Geschäftshaus (Apotheke); Garage	Q11755880	Q655686		
Wohn- und Geschäftshaus (Boardinghaus)	Q11755880	Q655686		
Wohn- und Geschäftshaus (mit Apothekenvorbau)	Q11755880	Q655686		
Wohn- und Geschäftshaus (Vorderhaus)	Q11755880	Q655686		
Wohn- und Geschäftshaus (Vorderhaus, Wohnterrasse)	Q11755880	Q655686		
Wohn- und Geschäftshaus (Wohnhaus mit Kotorräumen)	Q11755880	Q655686		
Wohn- und Geschäftshaus (z.T. Privatklinik)	Q11755880	Q655686		
Wohn- und Geschäftshäuser	Q11755880	Q655686		
Wohn- und Kontorhaus	Q11755880	Q1783234		
Wohn- und Wirtschaftsgebäude {Laden (nach Umnutzung)}	Q11755880	Q655686		
Wohnanwesen	Q11755880			
Wohnbaracke/Bürobaracke (Baracke Typ R.L.IV)	Q6502413			
Wohnen	Q11755880			
Wohngebäude	Q11755880			
Wohngebäude (Altenheim/Pflegeheim)	Q22908			
Wohngebäude (Altenwohnungen)	Q11755880			
Wohngebäude (Arbeiterwohnhaus)	Q11755880			
Wohngebäude (Arbeiterwohnhäuser)	Q11755880			
Wohngebäude (Boardinghaus)	Q11755880			
Wohngebäude (Budenreihe)	Q11755880			
Wohngebäude (Doppelhaus)	Q11755880			
Wohngebäude (Doppelhaus); Einfriedung	Q11755880	Q1307347		
Wohngebäude (Doppelhaus); Stall (Kleintierstall)	Q11755880			
Wohngebäude (Eckhaus)	Q11755880			
Wohngebäude (Einzelhaus)	Q11755880			
Wohngebäude (Gutsverwalterhaus)	Q11755880			
Wohngebäude (Handwerkerhaus)	Q11755880	Q58403020		
Wohngebäude (Hinterhaus)	Q11755880			
Wohngebäude (Hinterhaus),Wohngebäude (Hinterhaus, Wohnterrasse)	Q11755880			
Wohngebäude (Hinterhaus, Wohnpassage)	Q11755880			
Wohngebäude (Hinterhaus, Wohnterrasse)	Q11755880	Q2588111		
Wohngebäude (Hinterhaus, Wohnterrasse); Vorgärten; Pflaster	Q11755880	Q3328263		
Wohngebäude (Hinterhäuser)	Q11755880			
Wohngebäude (Hinterhäuser, Wohnpassage)	Q11755880			
Wohngebäude (Hinterhäuser, Wohnterrasse)	Q11755880	Q2588111		
Wohngebäude (Hinterhäuser, Wohnterrasse),Wohngebäude (Vorderhaus, Wohnterrasse)	Q11755880			
Wohngebäude (Hofbebauung)	Q11755880			
Wohngebäude (Hofbebauung, Hinterhaus)	Q11755880			
Wohngebäude (Hofbebauung, Wohnpassage)	Q11755880			
Wohngebäude (Küsterhaus)/ Schulgebäude (Kirchenschule)	Q11755880			
Wohngebäude (ländlich)	Q11755880			
Wohngebäude (Lehrerwohnhaus)	Q11755880			
Wohngebäude (Mehrfamilienhaus, Hinterhaus)	Q11755880			
Wohngebäude (mit Arztpraxis); Garten; Mauer	Q11755880	Q1107656		
Wohngebäude (mit Bäckerei, vermutl., Deichbebauung)	Q11755880			
Wohngebäude (mit Läden und Treppe)	Q11755880			
Wohngebäude (mit z.T. gewerblicher Nutzung)	Q11755880			
Wohngebäude (Palais) {Bürogebäude (nach Wiederaufbau)}	Q11755880			
Wohngebäude (Reihenhaus)	Q11755880			
Wohngebäude (Reihenhäuser)	Q11755880			
Wohngebäude (Sommerhaus bzw. Jagdhaus in der Art eines Bauernhaus)	Q11755880			
Wohngebäude (Sommerhaus)	Q11755880			
Wohngebäude (vermutl.) {Schulgebäude (nach Umnutzung 1821, Privatschule)}	Q11755880			
Wohngebäude (Vorderhaus)	Q11755880			
Wohngebäude (Vorderhaus); Werkstatt (Hofgebäude)	Q11755880			
Wohngebäude (Vorderhaus, Wohnpassage)	Q11755880			
Wohngebäude (Vorderhaus, Wohnterrasse)	Q11755880	Q2588111		
Wohngebäude (Vorderhaus, Wohnterrasse),Wohnhaus (Wohnpassage)	Q11755880			
Wohngebäude (Vorderhaus, Wohnterrasse); Wohngebäude (Hinterhaus, Wohnterrasse)	Q11755880			
Wohngebäude (Wohnterrasse)	Q11755880	Q2588111		
Wohngebäude {Polizeiwache (nach Umbau 1891)}	Q11755880			
Wohngebäude Hinterhaus	Q11755880			
Wohngebäude mit Hinterflügel	Q11755880			
Wohngebäude/ Atelierhaus; Einfriedung; Pflaster	Q11755880	Q1307347	Q3328263	
Wohngebäude/ Bürohaus	Q11755880			
Wohngebäude/ Gasthaus	Q11755880			
Wohngebäude/ Gasthaus (mit Saal)	Q11755880			
Wohngebäude/ Gaststätte; u.a.	Q11755880	Q62602544		
Wohngebäude/ Schulungsgebäude	Q11755880			
Wohngebäude/ Stallgebäude	Q11755880			
Wohngebäude/ Verwalterhaus	Q11755880			
Wohngebäude/ Verwaltungsgebäude	Q11755880			
Wohngebäude/ Verwaltungsgebäude (Dienstgebäude)	Q11755880			
Wohngebäude/Stallgebäude/Altenteiler	Q11755880			
Wohngebäude; Einfriedung	Q11755880	Q1307347		
Wohngebäude; Einfriedung; Windbäume	Q11755880	Q1307347		
Wohngebäude; Speicher	Q11755880	Q1362225		
Wohngebäude; u.a.	Q11755880			
Wohngeschäftshaus	Q11755880	Q655686		
Wohngeschäftshaus (Apotheke)	Q11755880	Q655686		
Wohngeschäftshaus (Vorderhaus, Wohnpassage)	Q11755880	Q655686		
Wohngeschäftshaus (Vorderhaus, Wohnterrasse)	Q11755880	Q655686		
Wohngeschäftshaus / Kontorhaus	Q11755880	Q1783234		
Wohngeschäftshaus/ Kontorhaus	Q11755880	Q1783234		
Wohngeschäftshaus/Kontorhaus	Q11755880	Q1783234		
Wohngeschäftshaus; Arkaden	Q11755880	Q655686	Q98445120	
Wohngeschäftshaus; Kontorhaus	Q11755880	Q1783234		
Wohnhaus	Q11755880			
Wohnhaus (Deichbebauung)	Q11755880			
Wohnhaus (Deichbebauung); Einfriedung	Q11755880	Q1307347		
Wohnhaus (Direktorenwohnhaus; Schulnebengebäude)	Q11755880			
Wohnhaus (Doppelhaus)	Q11755880			
Wohnhaus (Doppelhaus); Stall (Kleintierstall)	Q11755880			
Wohnhaus (Doppelhaus, Haushälfte)	Q11755880			
Wohnhaus (Doppelhaus, Typ Bude)	Q11755880			
Wohnhaus (Doppelhaushälfte)	Q11755880			
Wohnhaus (Gästehaus; Sommerhaus)	Q11755880			
Wohnhaus (Hinterhaus)	Q11755880			
Wohnhaus (Hofbebauung)	Q11755880			
Wohnhaus (Hofbebauung, Wohnterrasse)	Q11755880			
Wohnhaus (Hofgebäude)	Q11755880			
Wohnhaus (Küsterhaus) / Schulgebäude (Kirchenschule)	Q11755880			
Wohnhaus (mit Anbau zum Garten, Vorderhaus)	Q11755880			
Wohnhaus (mit Anbauten)	Q11755880			
Wohnhaus (mit Apotheke)	Q11755880	Q655686		
Wohnhaus (mit Arztpraxis)	Q11755880	Q655686		
Wohnhaus (mit Atelier); Einfriedung; Garten	Q11755880	Q1307347	Q1107656	
Wohnhaus (mit Atelier); Garten	Q11755880	Q1107656		
Wohnhaus (mit Bäckerei und Laden)	Q11755880	Q655686		
Wohnhaus (mit Bäckerei)	Q11755880	Q655686		
Wohnhaus (mit Garten)	Q11755880	Q1107656		
Wohnhaus (mit Gaststätte und Laden)	Q11755880	Q62602544		
Wohnhaus (mit Gaststätte)	Q11755880	Q655686		
Wohnhaus (mit Kontorräumen)	Q11755880	Q1783234		
Wohnhaus (mit Kutscherwohung)	Q11755880			
Wohnhaus (mit Laden)	Q11755880	Q213441		
Wohnhaus (mit Schulnutzung) {Wohnhaus/ Werkstatt (nach Umnutzung)}	Q11755880			
Wohnhaus (mit Stall, Anbau)	Q11755880			
Wohnhaus (mit Tierarztpraxis)	Q11755880	Q655686		
Wohnhaus (mit Verbindungsgang)	Q11755880			
Wohnhaus (mit Werkstatt und Stall)	Q11755880	Q655686		
Wohnhaus (mit Werkstatt)	Q11755880			
Wohnhaus (mit z.T. gewerblicher Nutzung, Hofbebauung)	Q11755880			
Wohnhaus (Reihenhaus)	Q11755880			
Wohnhaus (Reihenhaus, Doppelhaus)	Q11755880			
Wohnhaus (Reihenhaus, Doppelhaushälfte)	Q11755880			
Wohnhaus (Sommerhaus)	Q11755880			
Wohnhaus (Stadthaus)	Q11755880			
Wohnhaus (Stadthaus) {Etagenhaus (nach Umbau)}	Q11755880			
Wohnhaus (Stadthaus, Doppelhaus)	Q11755880			
Wohnhaus (Typ Bude)	Q11755880			
Wohnhaus (vermutl.)	Q11755880			
Wohnhaus (Villa mit Remise)	Q3950	Q517820		
Wohnhaus (Villa)	Q3950			
Wohnhaus (Vorderhaus)	Q11755880			
Wohnhaus (Vorderhaus, mit Veranda und Einfriedung)	Q11755880	Q1307347		
Wohnhaus (Wohnpassage)	Q11755880			
Wohnhaus (Wohnterrasse)	Q11755880			
Wohnhaus (Zwillingshaus)	Q11755880			
Wohnhaus {Bahnhofsgebäude (nach Umnutzung)}	Q11755880			
Wohnhaus {Bankgebäude (nach Umnutzung)}	Q11755880			
Wohnhaus {Gastwirtschaft}	Q11755880			
Wohnhaus {Geschäftshaus (nach Umnutzung)}	Q11755880			
Wohnhaus {Mehrfamilienhaus} {Ledigenhaus}	Q11755880			
Wohnhaus {Pastorat (nach Umnutzung)}	Q11755880	Q607241		
Wohnhaus {Schulgebäude/ Lehrerwohnhaus (nach Umnutzung 1808)} {Geschäftshaus (nach Umnutzung 1888)}	Q11755880			
Wohnhaus {Schulhaus (1851-1860 Armenschule)}	Q11755880			
Wohnhaus {Verwaltungsgebäude (nach Umnutzung}; Fabrikationsgebäude (Florylingebäude)	Q11755880			
Wohnhaus {Wohn- und Geschäftshaus}	Q11755880	Q655686		
Wohnhaus {Wohnwirtschaftsgebäude (nach Umbau)}	Q11755880	Q655686		
Wohnhaus mit Garten	Q11755880	Q1107656		
Wohnhaus mit Garten; Brunnen	Q11755880	Q1107656		
Wohnhaus und Garten	Q11755880	Q1107656		
Wohnhaus- und Geschäftsgebäude	Q11755880			
Wohnhaus, Stall/ Remise	Q11755880	Q517820		
Wohnhaus/ Atelierhaus	Q11755880	Q655686		
Wohnhaus/ Atelierhaus; Garten	Q11755880	Q655686	Q1107656	
Wohnhaus/ Gartenhaus	Q11755880			
Wohnhaus/ Geschäftshaus	Q11755880	Q655686		
Wohnhaus/ Geschäftshaus (vermutl.)	Q11755880	Q655686		
Wohnhaus/ Geschäftshaus/ Gaststätte	Q11755880	Q62602544	Q655686	
Wohnhaus/ Pfarrhaus	Q11755880			
Wohnhaus/ Speicher	Q11755880	Q1362225		
Wohnhaus/ Stall	Q11755880			
Wohnhaus/ Tierklinik	Q11755880			
Wohnhaus/ Werkstatt (Weberei)	Q11755880	Q655686		
Wohnhaus; Atelierhaus; Vorgarten; Garten	Q11755880	Q655686	Q1107656	
Wohnhaus; Außenanlagen; Einfriedungen	Q11755880	Q1307347		
Wohnhaus; Baumreihe (vor dem Haus)	Q11755880			
Wohnhaus; Einfriedung	Q11755880	Q1307347		
Wohnhaus; Einfriedung; Linden	Q11755880	Q1307347		
Wohnhaus; Einfriedung; Tor	Q11755880	Q1307347		
Wohnhaus; Garten	Q11755880	Q1107656		
Wohnhaus; Garten; Einfriedung	Q11755880	Q1307347		
Wohnhaus; Garten; Hecken; Einfriedung	Q11755880	Q1307347	Q1107656	
Wohnhaus; Garten; Hofplatz; Einfriedung	Q11755880	Q1307347	Q1107656	
Wohnhaus; Gartenpavillon; u.a.	Q11755880	Q276173		
Wohnhaus; Geländer; Einfriedung	Q11755880	Q1307347		
Wohnhaus; Nebengebäude	Q11755880			
Wohnhaus; Pflaster (in der Durchfahrt)	Q11755880	Q3328263		
Wohnhaus; Portal	Q11755880			
Wohnhaus; Remise	Q11755880	Q517820		
Wohnhaus; Remise; Einfriedung	Q11755880	Q517820	Q1307347	
Wohnhaus; Schuppen	Q11755880			
Wohnhaus; Schuppen; Zaun	Q11755880			
Wohnhaus; Stallgebäude	Q11755880			
Wohnhaus; u.a.	Q11755880			
Wohnhaus; Verwaltungsgebäude; Pförtnerhaus; Grünanlage	Q11755880	Q294422	Q18759150	Q22652
Wohnhaus; Werkstattgebäude	Q11755880			
Wohnhaus; Windbaum	Q11755880			
Wohnhaus; Windbäume	Q11755880			
Wohnhaus; Zaun	Q11755880			
Wohnhaus; Zufahrt (mit Umfahrungsrondell); Baumbestand; Stützmauern (aus Bruchstein)	Q11755880			
Wohnhäuser (ehem. zwei Gebäude) {Hotel (nach Umnutzung)}	Q11755880			
Wohnheim {Arbeiterhotel}	Q847950			
Wohnheim {Heim für alleinstehende Frauen und Mädchen}	Q847950			
Wohnheim/Stift	Q16295481	Q847950		
Wohnhochhaus	Q18142			
Wohnhochhaus; Außenanlagen	Q18142			
Wohnsiedlung	Q11755880			
Wohnstift	Q16295481			
Wohnstift (Altenwohnanlage)	Q16295481			
Wohnstift (Stiftsgebäude; Pavillons (zur Straße); Einfriedungen; Außenanlagen)	Q16295481	Q1307347		
Wohnstift <Stiftsgebäude>	Q16295481			
Wohnwirtschaftsgebäude	Q11755880			
Wohnwirtschaftsgebäude (Fachhallenhaus)	Q11755880			
Wohnwirtschaftsgebäude (Fachhallenhaus); u.a.	Q11755880			
Wohnwirtschaftsgebäude (mit Gaststätte)	Q11755880	Q62602544		
Wohnwirtschaftsgebäude (Nr. 12 Wirtschaftsteil, Nr. 14 Wohnteil); Einfriedung	Q11755880	Q1307347		
Wohnwirtschaftsgebäude (Typ Hufnerhaus) {Scheune (nach Umnutzung)}	Q11755880	Q1303167		
Wohnwirtschaftsgebäude (Wirtschaftsgebäude mit Wohnteil)	Q11755880			
Wohnwirtschaftsgebäude {Kirchengebäude (nach Ausbau)}	Q11755880	Q16970		
Wohnwirtschaftsgebäude {Laden (nach Umnutzung}	Q11755880			
Wohnwirtschaftsgebäude {Restaurant bzw. Laden (nach Umnutzung)}	Q11755880			
Wohnwirtschaftsgebäude/Landhaus; Bäume	Q11755880			
Wohnwirtschaftsgebäude; Bäume; Pflaster	Q11755880	Q3328263		
Wohnwirtschaftsgebäude; Einfriedung	Q11755880	Q1307347		
Wohnwirtschaftsgebäude; Einfriedung; Bäume	Q11755880	Q1307347		
Wohnwirtschaftsgebäude; Gasthaus (nach Umnutzung 1929)	Q11755880			
Wohnwirtschaftsgebäude; Prunkpforte	Q11755880			
Wohnwirtschaftsgebäude; Scheune	Q11755880	Q1303167		
Wohnwirtschaftsgebäude; Scheune; Einfriedung; u.a.	Q11755880	Q1307347	Q1303167	
Wohnwirtschaftsgebäude; Scheune; Speicher	Q11755880	Q1362225	Q1303167	
Wohnwirtschaftsgebäude; u.a.	Q11755880			
Wohnwirtschaftsgebäude; Verkehrsfläche (zwischen Haus und Straße)	Q11755880			
Wohnwirtschaftsgebäude; Wirtschaftsgebäude	Q11755880			
Wohnwirtschaftsgebäude; Wurt	Q11755880			
Zentrale Versorgungsanlage				
Zollamt	Q218550			
Zollgebäude	Q218550			
Zollhaus/ Fährhaus {Gasthaus (nach Umbau)}; Saal	Q41176			
Zollpavillon	Q41176	Q276173		
Zollrampe				
Zollschuppen (mit Büroteil)	Q41176			
Zollzaun				
Zufahrt				
Zuwegung				
Zweifamilienhaus	Q6453233			
Zweifamilienhaus (Doppelhaus); Vorgarten	Q6453233	Q1107656		
Zweifamilienhaus (vermutl.)	Q6453233			
Zweifamilienhaus (vermutl.); Einfriedung; Vorgarten	Q6453233	Q1307347		
Zweifamilienhaus/ Reihenhaus	Q875016			
Zweifamilienhaus; Einfriedung; Vorgarten	Q6453233	Q1107656		
Zweifamilienhaus; Remise	Q517820	Q517820		
Zweifamilienhaus; Vorgarten; Einfriedung	Q6453233	Q1307347		